episode_num,character,line
1,Jerry,Damn it!
1,Beth,Jerry!
1,Jerry,Beth!
1,Summer,"Oh my god, my parents are so loud, I want to die."
1,Rick,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later."
1,Jerry,"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?"
1,Rick,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them."
1,Beth,"Oh, dad…"
1,Jerry,What? For real?
1,Mr. Goldenfold,"Alright, now, everybody get settled. Get away from the windows!"
1,Mr. Goldenfold,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two."
1,All classmates except Morty,Four.
1,Morty,Jessica.
1,Mr. Goldenfold,Five plus five.
1,All classmates except Morty,Ten.
1,Morty,Jessica.
1,Mr. Goldenfold,"Okay, good. It's time for the quiz."
1,Class,Awwwwww.
1,Mr. Goldenfold,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room.  There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3"
1,Jessica,"Hi, Morty."
1,Morty,"Whoa! Hi, Jessica."
1,Jessica,Can I show these to you?
1,Morty,Wow. Th-they're both great. Thank you!
1,Jessica,You know what I named these? My little Morties.
1,Morty,"Uh, that's flattering... and a little weird."
1,Jessica,Do you know what I want you to do with them?
1,Morty,Rename them?
1,Jessica,"Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers."
1,Morty,"Wow. Well, okay, Jessica. L-let's give this a shot."
1,Jessica,"Mm. Oh, Morty. What are you doing to me?"
1,Morty,"Uh, I-I'm just doing my best."
1,Mr. Goldenfold,Morty! What are you doing to me?!
1,Morty,"Ah, Jessica."
1,Mr. Goldenfold,Morty!
1,Morty,Jessica.
1,Mr. Goldenfold,"Five more minutes of this, and I'm gonna get mad."
1,Morty,Je-Jessica. Jessica.
1,Mr. Goldenfold,Not my fault this is happening.
1,Frank,"Well, well, well."
1,Morty,"Uh, morning, Frank."
1,Frank,"""Morning""? What was what is that supposed to mean? You making fun of me? Are you trying to say my family's poor?"
1,Morty,"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it."
1,Frank,"You telling me how to bully now? Big mistake, Morty and now I'm gonna cut you, 'cause my family's rich."
1,Rick,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
1,Morty,"Oh, geez, Rick. W-w-what'd you do to Frank?"
1,Rick,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty."
1,Morty,"I don't know, Rick. I can't leave school again."
1,Rick,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
1,Morty,"Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?"
1,Rick,"I'll do it later, Morty. He'll be fine. Let's go."
1,Summer ,"Oh, my God. I'm about to walk past Frank Palicky. This is the story we'll be telling our children."
1,Summer,"Hi, Frank."
1,Summer,AAAAAAAAAAAHHHHH!!!!!!!
1,Beth,Scalpel.
1,Davin,Scalpel.
1,Jerry,"Knock, knock."
1,Beth,Jerry?
1,Jerry,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"""
1,Tom,We're losing him.
1,Tom,"Okay, he's back."
1,Beth,"Jerry, please tell me you're here for an incredibly urgent reason."
1,Jerry,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia."
1,Tom,Losing him.
1,Tom,Stabilized.
1,Beth,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
1,Jerry,"Well, yeah, on horses."
1,Beth,Excuse me?
1,Jerry,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way."
1,Jerry,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home."
1,Tom,We're losing him.
1,Beth,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!"
1,Rick,"There she is. All right. Come on, Morty. Let's go."
1,Morty,"Oh, geez, okay."
1,Morty,"Oh, man, Rick. What is this place?"
1,Rick,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty."
1,Morty,"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing."
1,Rick,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be—"
1,Rick,"HOLY CRAP, MORTY RUN!!!"
1,Rick,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!"
1,Rick,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline."
1,Morty,"All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?"
1,Rick,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing."
1,Morty,"Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave."
1,Rick,"Ta-ta-ta-ta-ta-ta. Morty, you see this?"
1,Rick,"You see what we just stumbled upon, Morty? Any idea what that is down there?"
1,Morty,The mega trees?
1,Rick,"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school."
1,Morty,"All right, all right. So, what's so special about these seeds, anyways?"
1,Rick,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an  under-  underfoot figure."
1,Rick,"Just take these shoes, Morty. They're  special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
1,Morty,AAAAAAAHHHH!!!!!!
1,Rick,"You have to turn them on, Morty! The shoes have to be turned on!"
1,Beth,"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?"
1,Jerry,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son."
1,Davin,"Everything cool in here, Beth?"
1,Beth,"It's fine, Davin."
1,Davin,"Okay, cool. You know, we did something great today. There's nothing more noble and free than the heart of a horse."
1,Jerry,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies."
1,Beth,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend."
1,Jerry,"Well, maybe you're right."
1,Beth,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?"
1,Jerry,"Ahem, Horse heart surgeon."
1,Principal Vagina,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?"
1,Rick,"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
1,Morty,"I'm in a lot of pain, Rick!"
1,Rick,"Yeah, I can see that. But do you think you'll still be able to help me  collect my seeds, Morty?"
1,Morty,"Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something."
1,Rick,"Okay, hold on just a second, Morty."
1,Morty,Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh!
1,Morty,"Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, I've never felt so good in my life. Thank you."
1,Rick,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?"
1,Morty,"Sure thing, Rick."
1,Rick,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty."
1,Morty,"Wow, that's pretty crazy, Rick."
1,Rick,"There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that  they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty.  It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left."
1,Morty,What?!
1,Rick,"It's as good as garbage, Morty. It's not gonna work anymore, Morty."
1,Morty,"Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?"
1,Rick,"There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid."
1,Morty,Uh-oh.
1,Rick,"When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty."
1,Morty,In my butt?
1,Rick,"Put them way up inside there, as far as they can fit."
1,Morty,"Oh, geez, Rick. I really don't want to have to do that."
1,Rick,"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty"
1,Morty,Uuuh.
1,Rick,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt."
1,Morty,In my butt?
1,Rick,"Come on, Morty. Please, Morty. You have to do it, Morty."
1,Morty,"Oh, man."
1,Principal Vagina,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months."
1,Beth,What? Why didn't you notify us?
1,Principal Vagina,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?
1,Jerry,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?"
1,Principal Vagina,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school."
1,Beth,Summer?
1,Summer,What kind of God lets this happen?
1,Principal Vagina,We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.
1,Announcer,The glarp zone is for flarping and unglarping only.
1,Alien,"So, I told him, ""give me the blimfarx,"" you know? This-this guy he doesn't understand interstellar currency."
1,Alien,"It's, like, I'm trying to eat a flimflam like, that's what we eat on Girvonesk."
1,Announcer,The glarp zone is for flarping and unglarping only.
1,Rick,"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?"
1,Morty,"Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt."
1,Rick,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-"
1,Gromflomite,"Okay, next through.  Except you. You go over there."
1,Rick,Why does he have to go over there?
1,Gromflomite,Random check. He's got to go through the new machine.
1,Rick,What new-  what new machine?
1,Gromflomite,It's a new machine. It detects stuff all the way up your butt.
1,Rick,"Run, Morty! Run!"
1,Morty,Aaaaaah!
1,Gromfomite,Red alert!
1,Morty,Ohhhhh!
1,Morty,Ohhhhhh!
1,Morty,Aaaaah!
1,Rick,Don't think about it!
1,Rick,"Ooh! Oh, nice, Morty! The student becomes the teacher."
1,Morty,Whoooooo!
1,Alien,"Aah! Aw, hell, no, dawg. You know me I'm just trying to—"
1,Rick,"I need to type in the coordinates to our home world, Morty. Cover me."
1,Morty,"Oh, man. I mean, you know, I-I don't want to shoot nobody."
1,Rick,"They're just robots, Morty! It's okay to shoot them! They're robots!"
1,Glenn,Aaaaah! My leg is shot off!
1,Other Gromflomite,Glenn's bleeding to death! Someone call his wife and children!
1,Morty,"They're not robots, Rick!"
1,Rick,"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!"
1,Morty,Holy crap! This is insane!
1,Rick,"Come on, Morty! We got to get the hell out of here!"
1,Jessica,Wow. Did you just come into the cafeteria through a portal?
1,Morty,"Uh, yeah. Well, you know, my-my Ferrari's in the shop.  Just kidding."
1,Jessica,"You're Morty, right?"
1,Morty,Yeah.
1,Rick,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass."
1,Jerry,"Oh, look, honey. It's our son with Albert Ein-douche."
1,Beth,What?
1,Jerry,"I'm an angry father, not an improviser."
1,Rick,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?"
1,Rick,You guys should really not be touching that stuff. It's beyond your reasoning.
1,Jerry,You're beyond our reasoning!
1,Rick,Takes one to know one.
1,Beth,"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's."
1,Rick,What what are you guys doing with my stuff?
1,Beth,We're moving you to a nursing home.
1,Rick,"A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun."
1,Jerry,"Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas."
1,Beth,What does that mean?
1,Jerry,It's personal.
1,Morty,"Dad, mom, come on. Rick just needed my help is all."
1,Jerry,"Morty, stay out of this. You are obviously not capable of judging these situations on your own."
1,Rick,What are you trying to say about Morty? That he's stupid or something?
1,Beth,"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes."
1,Rick,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?
1,Jerry,"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?"
1,Morty,I do?
1,Jerry,"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard."
1,Morty,"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once."
1,Rick,"Morty, t-tell your parents the square root of pi."
1,Morty,"Oh, come on, Rick. You know I can't."
1,Rick,"The square root of Pi, Morty. Go!"
1,Morty,1.77245385... Whoa!
1,Beth,What the hell?
1,Jerry,Holy crap. He's right.
1,Rick,"Morty, tell your parents the first law of Thermodynamics."
1,Morty,"""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I'm so smart!"
1,Jerry,But—
1,Rick,I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.
1,Beth,"Jerry, I don't want whatever's happening here to stop."
1,Jerry,"No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school."
1,Rick,"Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication."
1,Summer,Frank Palicky was frozen to death today!
1,Rick,No idea what you're talking about.
1,Jerry,"Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you."
1,Beth,You know what? Okay.
1,Morty,"Holy cow, Rick. I didn't know hanging out with you was making me smarter."
1,Rick,"Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity."
1,Morty,"Aw, man."
1,Rick,"Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty."
1,Morty,"Ohh, man.  Oh, geez! Ohh."
1,Rick,"I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we're gonna have to go get more.  And then we're gonna go on even more adventures after that, Morty and you're gonna keep your mouth shut about it, Morty, because the world is full of idiots that don't understand what's important, and they'll tear us apart, Morty but if you stick with me, I'm gonna accomplish great things, Morty, and you're gonna be part of them, and together, we're gonna run around, Morty. We're gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. We're the only friends we've got, Morty. It's just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Morty's things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com."
2,TV,Coin collecting is considered the perfect hobby.
2,Jerry,What? Why are you looking at me? You want to go outside? Outside?
2,Jerry,Outside?
2,Jerry,Are you kidding me?! Come on!
2,Summer,"Oh, my God."
2,Morty,What's wrong?
2,Jerry,Your idiot dog!
2,Morty,"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
2,Jerry,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
2,Rick,"Morty, come on. I need your help tonight."
2,Jerry,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
2,Rick,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
2,Jerry,"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
2,Summer,Ha-ha!
2,Morty,"Aw, man!"
2,Rick,"Boy, you really got me up against a wall this time, Jerry."
2,Rick,"All right, Ruffles What's his name?"
2,Morty,Snuffles.
2,Rick,"Snuffles, shake."
2,Rick,Roll over.
2,Rick,Go to the bathroom.
2,Jerry,Holy crap!
2,Summer,No way.
2,Rick,"Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
2,Morty,"That was fantastic, Rick!"
2,Rick,"Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
2,Morty,W-w-w-what is it?
2,Rick,"It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
2,Morty,"You talking about ""Inception""?"
2,Rick,"That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may--be make sense."
2,Morty,"""Inception"" made sense."
2,Rick,"You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
2,Morty,"Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?"
2,Rick,"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
2,Rick,"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
2,Mrs. Pancakes,You don't know me!
2,Mr. Goldenfold,"' Nice, Mrs. Pancakes real nice."
2,Commercial Announcer,"Next week on ""The days and nights of Mrs. Pancakes"""
2,Mrs. Pancakes,You don't know me!
2,Mr. Pancakes,"Then let me get to know yo, damn it!"
2,Rick,Uh-oh! Spoilers!
2,Rick,I'm a full season behind.
2,Morty,"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird."
2,Rick,"It's about to get a whole lot weirder, Morty."
2,Mrs. Pancakes,Wheat thins. Wheat thins.
2,Mr. Goldenfold,I'll take two.
2,Mrs. Pancakes,"Oh, I think you've had enough, sir."
2,Mr.Goldenfold,You don't know me.
2,Rick,"All right, Morty, time to make our move."
2,Mr. Goldenfold,Make it bounce.
2,Mrs. Pancakes,"No, you didn't."
2,Mr. Goldenfold,"Oh, jiggle it now."
2,Mrs. Pancakes,You better stop with that.
2,Rick,Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!
2,Rick,"Hey! I said nobody move, buddy!"
2,Mr. Goldenfold,The name's not buddy. It's Goldenfold. Nice to wheat you!
2,Rick,"Take cover, Morty!"
2,Mr. Goldenfold,AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!
2,Morty,Ooohhh!
2,Rick,"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty."
2,Morty,What?! Are you kidding me?! Ohhhhhh!
2,Rick,"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!"
2,Jerry,Now bring me my slippers.
2,Summer,"Now, be my footstool, Snuffles."
2,Jerry,This is what I'm talking about. This is a dog.
2,Beth ,"Oh, yeah. This should play out just fine."
2,Jerry,"You said the same thing, equally sarcastically, at our wedding and guess what?"
2,Snuffles,Ooowwwwowowwaawaa!
2,Summer,"Oh, my God! He's trying to tell us something.  That is so awesome."
2,Snuffles,Aaaawwaaaaawaawa!
2,Jerry,"Aw, he's saying ""I love lasagna""."
2,Snuffles,Ooooyayawawa!
2,Summer,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now."
2,Jerry,I should call Bob Saget. Is that still a thing?
2,Snuffles,Hmm?
2,Rick,"Goldenfold, we're coming out! We just want to talk!"
2,Mr.Goldenfold,Why would I negotiate with you?
2,Rick,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.
2,Mr. Goldenfold,Mrs. Pancakes! AAAAAAAAHHHH!!!!!
2,Plane Passengers,AAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHH!!!!!!!!!!!!!!
2,Rick,"Oh, no, Morty. His subconscious is panicking."
2,Plane Passenger,Oh no! Run!
2,Plane Passengers,AAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHH!!!!!!!!!!!!!!!
2,Rick,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!
2,Morty,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!
2,Morty,AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!
2,Rick,"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!"
2,Mrs. Pancakes,"Hey, you don't know me!"
2,Morty,"Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!"
2,Rick,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!"
2,Mrs. Pancakes,You don't know m-
2,Rick,"All right, let's go."
2,Morty,"Oh, man, Rick, this is pretty weird."
2,Rick,"Don't judge, Morty."
2,Morty,"Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up."
2,Rick,"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch."
2,Sexualized S&M Monster,"Ooh, hey!"
2,Morty,"Ooh, oh! Oh, man."
2,Sexualized S&M Monster,Come and join us.
2,Morty,"I'm sorry. No, no."
2,Sexualized S&M Monster,"Ooh, come here!"
2,Morty,"No, thanks!"
2,Giant Frog Woman,"Ooh, wow! - Come over here, baby!"
2,Morty,"No, I'm okay."
2,Morty,Whoa!
2,Morty ,Summer?!
2,Summer,"Hey, there, stranger. What do you think of these things?"
2,Morty,Ohh! Oh! Gross! Gross!
2,Rick,"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here."
2,Morty,It's Summer!
2,Rick,"Aw, geez. Looks like goldenfold has some predilections so shameful he buries them in the dreams of the people in his dreams, including a pervy attraction to your underage sister."
2,Summer,"Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich."
2,Rick ,"Oh, my God. Put some clothes on for the love of God Summer! Put some - I'm gunna puke! I swear to God I'm gunna puke!"
2,Morty ,"Oh, my God! Put some clothes on, for Pete's sake! This is disgusting! I can't take it, Rick!"
