episode_num,season,Line_num,character,line
1,1,97,Summer ,"Oh, my God. I'm about to walk past Frank Palicky. This is the story we'll be telling our children."
1,1,98,Summer,"Hi, Frank."
1,1,99,Summer,AAAAAAAAAAAHHHHH!!!!!!!
1,1,100,Beth,Scalpel.
1,1,101,Davin,Scalpel.
1,1,102,Jerry,"Knock, knock."
1,1,103,Beth,Jerry?
1,1,104,Jerry,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"""
1,1,105,Tom,We're losing him.
1,1,106,Tom,"Okay, he's back."
1,1,107,Beth,"Jerry, please tell me you're here for an incredibly urgent reason."
1,1,108,Jerry,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia."
1,1,109,Tom,Losing him.
1,1,110,Tom,Stabilized.
1,1,111,Beth,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
1,1,112,Jerry,"Well, yeah, on horses."
1,1,113,Beth,Excuse me?
1,1,114,Jerry,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way."
1,1,115,Jerry,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home."
1,1,116,Tom,We're losing him.
1,1,117,Beth,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!"
1,1,118,Rick,"There she is. All right. Come on, Morty. Let's go."
1,1,119,Morty,"Oh, geez, okay."
1,1,120,Morty,"Oh, man, Rick. What is this place?"
1,1,121,Rick,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty."
1,1,122,Morty,"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing."
1,1,123,Rick,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be—"
1,1,124,Rick,"HOLY CRAP, MORTY RUN!!!"
1,1,125,Rick,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!"
1,1,126,Rick,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline."
1,1,127,Morty,"All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?"
1,1,128,Rick,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing."
1,1,129,Morty,"Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave."
1,1,130,Rick,"Ta-ta-ta-ta-ta-ta. Morty, you see this?"
1,1,131,Rick,"You see what we just stumbled upon, Morty? Any idea what that is down there?"
1,1,132,Morty,The mega trees?
1,1,133,Rick,"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school."
1,1,134,Morty,"All right, all right. So, what's so special about these seeds, anyways?"
1,1,135,Rick,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an  under-  underfoot figure."
1,1,136,Rick,"Just take these shoes, Morty. They're  special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
1,1,137,Morty,AAAAAAAHHHH!!!!!!
1,1,138,Rick,"You have to turn them on, Morty! The shoes have to be turned on!"
1,1,139,Beth,"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?"
1,1,140,Jerry,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son."
1,1,141,Davin,"Everything cool in here, Beth?"
1,1,142,Beth,"It's fine, Davin."
1,1,143,Davin,"Okay, cool. You know, we did something great today. There's nothing more noble and free than the heart of a horse."
1,1,144,Jerry,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies."
1,1,145,Beth,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend."
1,1,146,Jerry,"Well, maybe you're right."
1,1,147,Beth,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?"
1,1,148,Jerry,"Ahem, Horse heart surgeon."
1,1,149,Principal Vagina,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?"
1,1,150,Rick,"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
1,1,151,Morty,"I'm in a lot of pain, Rick!"
1,1,152,Rick,"Yeah, I can see that. But do you think you'll still be able to help me  collect my seeds, Morty?"
1,1,153,Morty,"Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something."
1,1,154,Rick,"Okay, hold on just a second, Morty."
1,1,155,Morty,Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh!
1,1,156,Morty,"Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, I've never felt so good in my life. Thank you."
1,1,157,Rick,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?"
1,1,158,Morty,"Sure thing, Rick."
1,1,159,Rick,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty."
1,1,160,Morty,"Wow, that's pretty crazy, Rick."
1,1,161,Rick,"There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that  they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty.  It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left."
1,1,162,Morty,What?!
1,1,163,Rick,"It's as good as garbage, Morty. It's not gonna work anymore, Morty."
1,1,164,Morty,"Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?"
1,1,165,Rick,"There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid."
1,1,166,Morty,Uh-oh.
1,1,167,Rick,"When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty."
1,1,168,Morty,In my butt?
1,1,169,Rick,"Put them way up inside there, as far as they can fit."
1,1,170,Morty,"Oh, geez, Rick. I really don't want to have to do that."
1,1,171,Rick,"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty"
1,1,172,Morty,Uuuh.
1,1,173,Rick,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt."
1,1,174,Morty,In my butt?
1,1,175,Rick,"Come on, Morty. Please, Morty. You have to do it, Morty."
1,1,176,Morty,"Oh, man."
1,1,177,Principal Vagina,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months."
1,1,178,Beth,What? Why didn't you notify us?
1,1,179,Principal Vagina,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?
1,1,180,Jerry,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?"
1,1,181,Principal Vagina,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school."
1,1,182,Beth,Summer?
1,1,183,Summer,What kind of God lets this happen?
1,1,184,Principal Vagina,We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.
1,1,185,Announcer,The glarp zone is for flarping and unglarping only.
1,1,186,Alien,"So, I told him, ""give me the blimfarx,"" you know? This-this guy he doesn't understand interstellar currency."
1,1,187,Alien,"It's, like, I'm trying to eat a flimflam like, that's what we eat on Girvonesk."
1,1,188,Announcer,The glarp zone is for flarping and unglarping only.
1,1,189,Rick,"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?"
1,1,190,Morty,"Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt."
1,1,191,Rick,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-"
1,1,192,Gromflomite,"Okay, next through.  Except you. You go over there."
1,1,193,Rick,Why does he have to go over there?
1,1,194,Gromflomite,Random check. He's got to go through the new machine.
1,1,195,Rick,What new-  what new machine?
1,1,196,Gromflomite,It's a new machine. It detects stuff all the way up your butt.
1,1,197,Rick,"Run, Morty! Run!"
1,1,198,Morty,Aaaaaah!
1,1,199,Gromfomite,Red alert!
1,1,200,Morty,Ohhhhh!
1,1,201,Morty,Ohhhhhh!
1,1,202,Morty,Aaaaah!
1,1,203,Rick,Don't think about it!
1,1,204,Rick,"Ooh! Oh, nice, Morty! The student becomes the teacher."
1,1,205,Morty,Whoooooo!
1,1,206,Alien,"Aah! Aw, hell, no, dawg. You know me I'm just trying to—"
1,1,207,Rick,"I need to type in the coordinates to our home world, Morty. Cover me."
1,1,208,Morty,"Oh, man. I mean, you know, I-I don't want to shoot nobody."
1,1,209,Rick,"They're just robots, Morty! It's okay to shoot them! They're robots!"
1,1,210,Glenn,Aaaaah! My leg is shot off!
1,1,211,Other Gromflomite,Glenn's bleeding to death! Someone call his wife and children!
1,1,212,Morty,"They're not robots, Rick!"
1,1,213,Rick,"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!"
1,1,214,Morty,Holy crap! This is insane!
1,1,215,Rick,"Come on, Morty! We got to get the hell out of here!"
1,1,216,Jessica,Wow. Did you just come into the cafeteria through a portal?
1,1,217,Morty,"Uh, yeah. Well, you know, my-my Ferrari's in the shop.  Just kidding."
1,1,218,Jessica,"You're Morty, right?"
1,1,219,Morty,Yeah.
1,1,220,Rick,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass."
1,1,221,Jerry,"Oh, look, honey. It's our son with Albert Ein-douche."
1,1,222,Beth,What?
1,1,223,Jerry,"I'm an angry father, not an improviser."
1,1,224,Rick,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?"
1,1,225,Rick,You guys should really not be touching that stuff. It's beyond your reasoning.
1,1,226,Jerry,You're beyond our reasoning!
1,1,227,Rick,Takes one to know one.
1,1,228,Beth,"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's."
1,1,229,Rick,What what are you guys doing with my stuff?
1,1,230,Beth,We're moving you to a nursing home.
1,1,231,Rick,"A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun."
1,1,232,Jerry,"Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas."
1,1,233,Beth,What does that mean?
1,1,234,Jerry,It's personal.
1,1,235,Morty,"Dad, mom, come on. Rick just needed my help is all."
1,1,236,Jerry,"Morty, stay out of this. You are obviously not capable of judging these situations on your own."
1,1,237,Rick,What are you trying to say about Morty? That he's stupid or something?
1,1,238,Beth,"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes."
1,1,239,Rick,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?
1,1,240,Jerry,"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?"
1,1,241,Morty,I do?
1,1,242,Jerry,"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard."
1,1,243,Morty,"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once."
1,1,244,Rick,"Morty, t-tell your parents the square root of pi."
1,1,245,Morty,"Oh, come on, Rick. You know I can't."
1,1,246,Rick,"The square root of Pi, Morty. Go!"
1,1,247,Morty,1.77245385... Whoa!
1,1,248,Beth,What the hell?
1,1,249,Jerry,Holy crap. He's right.
1,1,250,Rick,"Morty, tell your parents the first law of Thermodynamics."
1,1,251,Morty,"""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I'm so smart!"
1,1,252,Jerry,But—
1,1,253,Rick,I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.
1,1,254,Beth,"Jerry, I don't want whatever's happening here to stop."
1,1,255,Jerry,"No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school."
1,1,256,Rick,"Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication."
1,1,257,Summer,Frank Palicky was frozen to death today!
1,1,258,Rick,No idea what you're talking about.
1,1,259,Jerry,"Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you."
1,1,260,Beth,You know what? Okay.
1,1,261,Morty,"Holy cow, Rick. I didn't know hanging out with you was making me smarter."
1,1,262,Rick,"Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity."
1,1,263,Morty,"Aw, man."
1,1,264,Rick,"Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty."
1,1,265,Morty,"Ohh, man.  Oh, geez! Ohh."
1,1,266,Rick,"I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we're gonna have to go get more.  And then we're gonna go on even more adventures after that, Morty and you're gonna keep your mouth shut about it, Morty, because the world is full of idiots that don't understand what's important, and they'll tear us apart, Morty but if you stick with me, I'm gonna accomplish great things, Morty, and you're gonna be part of them, and together, we're gonna run around, Morty. We're gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. We're the only friends we've got, Morty. It's just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Morty's things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com."
2,1,1,TV,Coin collecting is considered the perfect hobby.
2,1,2,Jerry,What? Why are you looking at me? You want to go outside? Outside?
2,1,3,Jerry,Outside?
2,1,4,Jerry,Are you kidding me?! Come on!
2,1,5,Summer,"Oh, my God."
2,1,6,Morty,What's wrong?
2,1,7,Jerry,Your idiot dog!
2,1,8,Morty,"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
2,1,9,Jerry,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
2,1,10,Rick,"Morty, come on. I need your help tonight."
2,1,11,Jerry,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
2,1,12,Rick,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
2,1,13,Jerry,"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
2,1,14,Summer,Ha-ha!
2,1,15,Morty,"Aw, man!"
2,1,16,Rick,"Boy, you really got me up against a wall this time, Jerry."
2,1,17,Rick,"All right, Ruffles What's his name?"
2,1,18,Morty,Snuffles.
2,1,19,Rick,"Snuffles, shake."
2,1,20,Rick,Roll over.
2,1,21,Rick,Go to the bathroom.
2,1,22,Jerry,Holy crap!
2,1,23,Summer,No way.
2,1,24,Rick,"Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
2,1,25,Morty,"That was fantastic, Rick!"
2,1,26,Rick,"Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
2,1,27,Morty,W-w-w-what is it?
2,1,28,Rick,"It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
2,1,29,Morty,"You talking about ""Inception""?"
2,1,30,Rick,"That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may--be make sense."
2,1,31,Morty,"""Inception"" made sense."
2,1,32,Rick,"You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
2,1,33,Morty,"Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?"
2,1,34,Rick,"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
2,1,35,Rick,"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
2,1,36,Mrs. Pancakes,You don't know me!
2,1,37,Mr. Goldenfold,"' Nice, Mrs. Pancakes real nice."
2,1,38,Commercial Announcer,"Next week on ""The days and nights of Mrs. Pancakes"""
2,1,39,Mrs. Pancakes,You don't know me!
2,1,40,Mr. Pancakes,"Then let me get to know yo, damn it!"
2,1,41,Rick,Uh-oh! Spoilers!
2,1,42,Rick,I'm a full season behind.
2,1,43,Morty,"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird."
2,1,44,Rick,"It's about to get a whole lot weirder, Morty."
2,1,45,Mrs. Pancakes,Wheat thins. Wheat thins.
2,1,46,Mr. Goldenfold,I'll take two.
2,1,47,Mrs. Pancakes,"Oh, I think you've had enough, sir."
2,1,48,Mr.Goldenfold,You don't know me.
2,1,49,Rick,"All right, Morty, time to make our move."
2,1,50,Mr. Goldenfold,Make it bounce.
2,1,51,Mrs. Pancakes,"No, you didn't."
2,1,52,Mr. Goldenfold,"Oh, jiggle it now."
2,1,53,Mrs. Pancakes,You better stop with that.
2,1,54,Rick,Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!
2,1,55,Rick,"Hey! I said nobody move, buddy!"
2,1,56,Mr. Goldenfold,The name's not buddy. It's Goldenfold. Nice to wheat you!
2,1,57,Rick,"Take cover, Morty!"
2,1,58,Mr. Goldenfold,AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!
2,1,59,Morty,Ooohhh!
2,1,60,Rick,"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty."
2,1,61,Morty,What?! Are you kidding me?! Ohhhhhh!
2,1,62,Rick,"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!"
2,1,63,Jerry,Now bring me my slippers.
2,1,64,Summer,"Now, be my footstool, Snuffles."
2,1,65,Jerry,This is what I'm talking about. This is a dog.
2,1,66,Beth ,"Oh, yeah. This should play out just fine."
2,1,67,Jerry,"You said the same thing, equally sarcastically, at our wedding and guess what?"
2,1,68,Snuffles,Ooowwwwowowwaawaa!
2,1,69,Summer,"Oh, my God! He's trying to tell us something.  That is so awesome."
2,1,70,Snuffles,Aaaawwaaaaawaawa!
2,1,71,Jerry,"Aw, he's saying ""I love lasagna""."
2,1,72,Snuffles,Ooooyayawawa!
2,1,73,Summer,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now."
2,1,74,Jerry,I should call Bob Saget. Is that still a thing?
2,1,75,Snuffles,Hmm?
2,1,76,Rick,"Goldenfold, we're coming out! We just want to talk!"
2,1,77,Mr.Goldenfold,Why would I negotiate with you?
2,1,78,Rick,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.
